initial key,initial value,assigned workspace,assigned bucket,assigned key name,is merged
andpoe.accom_everest_bookingform_thaiid_page_pagetitle,Thai ID Card Number,accommodation,accommodation_everest_bookingform,thaiid_page_pagetitle,FALSE
andpoe.accom_everest_bookingform_thaiid_page_thaiid_message,"<![CDATA[Please note that your Thai ID & Mobile Number must already be registered in www.เราเที่ยวด้วยกัน.com to be eligible for the TTogether Promo. By filling the ID Number, you are giving permission for Traveloka to process and share your Thai ID & Mobile Number with the Thai government & other authorized third party for verification purpose.]]>",accommodation,accommodation_everest_bookingform,thaiid_page_thaiid_message,FALSE
andpoe.accom_filter_design_result_title_property_count,({0} Properties),accommodation,accommodation_filter,design_result_title_property_count,FALSE
andpoe.accom_filter_design_tray_area_title,Area,accommodation,accommodation_filter,design_tray_area_title,FALSE
andpoe.accom_filter_design_tray_clear_button,Clear,accommodation,accommodation_filter,design_tray_clear_button,FALSE
andpoe.accom_filter_design_tray_price_filter_description,"Per room, per night",accommodation,accommodation_filter,design_tray_price_filter_description,FALSE
andpoe.accom_filter_design_tray_price_filter_title,Price Range,accommodation,accommodation_filter,design_tray_price_filter_title,FALSE
andpoe.accom_filter_design_tray_recent_filter_title,Recent Filter,accommodation,accommodation_filter,design_tray_recent_filter_title,FALSE
andpoe.accom_filter_design_tray_section_collapse_button,See less,accommodation,accommodation_filter,design_tray_section_collapse_button,FALSE
andpoe.accom_filter_design_tray_section_expand_button,See all,accommodation,accommodation_filter,design_tray_section_expand_button,FALSE
andpoe.accom_filter_design_tray_section_submit_button,Show Results,accommodation,accommodation_filter,design_tray_section_submit_button,FALSE
andpoe.accom_flexcom_booking_charged_info,You won’t be charged yet!,accommodation,accommodation_flexcom,booking_charged_info,FALSE
andpoe.accom_flexcom_unit_detail_desc,Get more flexibility with this room! You can:,accommodation,accommodation_flexcom,unit_detail_desc,FALSE
andpoe.accom_gallery_by_accommodation_title,Photos and Videos by Accommodation,accommodation,accommodation_gallery,by_accommodation_title,FALSE
andpoe.accom_gallery_guest_tab,By Guests,accommodation,accommodation_gallery,guest_tab,FALSE
andpoe.accom_gallery_property_tab,By Accommodation,accommodation,accommodation_gallery,property_tab,FALSE
andpoe.accom_gallery_room_footer_cta,See this room,accommodation,accommodation_gallery,room_footer_cta,FALSE
andpoe.accom_gallery_room_footer_label,Starts from,accommodation,accommodation_gallery,room_footer_label,FALSE
andpoe.accom_gallery_see_more_photo,See {0} more photos,accommodation,,,FALSE
andpoe.accom_gallery_see_room_option,See Room Options,accommodation,accommodation_gallery,see_room_option,FALSE
andpoe.accom_gallery_title,Photos & Videos,accommodation,accommodation_gallery,title,FALSE
andpoe.accom_geo_intent_list_title,Find hotels based on your upcoming trips,accommodation,accommodation_geo,intent_list_title,FALSE
andpoe.accom_geo_intent_result_spec_tooltip,Double check your dates. Adjust your stay dates here.,accommodation,accommodation_geo,intent_result_spec_tooltip,FALSE
andpoe.accom_holidaystays_searchform_bottombar_title,Holiday Stays,accommodation,accommodation_holidaystays,searchform_bottombar_title,FALSE
